BOD,name,count(nameGiven)
1885-10-07,"Ernest Gayhart,Frederick Richard",2
1885-10-14,"William Wallace,Ivan Massie",2
1885-11-15,"Don Carlos Patrick,Joseph Nichols",2
1885-11-29,"John Forbes,Clarence Curtis",2
1885-12-04,"John Francis,Jeremiah Joseph",2
1885-12-11,"Arthur Earl,John Frederick",2
1885-12-20,"Charles John,Joseph William",2
1886-05-13,"Frank Lee,William Lawrence",2
1886-06-11,"William George,Claud Lester",2
1886-06-16,"John Albert,George Nathan",2
1886-08-13,"Wingo Charlie,Thomas Edward",2
1886-08-30,"Wilbur Floyd,Albert R.",2
1886-09-09,"John Barney,Albert Clement",2
1886-09-23,"Robert Stone,Joseph Henry",2
1886-10-05,"Harry George,William Mitchell",2
1886-10-06,"John William,Hyder Edward",2
1886-10-14,"Ona Melvin,Stephen Vincent,Joseph Francis",3
1886-10-30,"Martin Joseph,Rudolph",2
1886-11-03,"Robert Taylor,Clyde Aubra",2
1886-11-10,"Dellas Clinton,James Joseph",2
1886-12-03,"William Henry,Delos Daniel",2
1886-12-18,"Herbert Courtland,Tyrus Raymond",2
1887-01-20,"William Frederick,William Henry",2
1887-02-02,"Charles Walter,Anton",2
1887-02-11,"Raymond C.,Ray Williston",2
1887-02-13,"Edward Cunningham,Guy",2
1887-03-12,"Walter Joseph,Walter Rudolph",2
1887-04-08,"William Dennis,Ralph Edward",2
1887-04-21,"Joseph Vincent,John Austin",2
1887-04-30,"Harold Paul,Edward James",2
1887-05-12,"Kurt Moritz,Eugene Hamlet",2
1887-07-08,"James,William Ellsworth,George Henry",3
1887-07-18,"Addison Foster,Delbert Henry",2
1887-08-11,"Peter Cole,Harry Gordon",2
1887-08-12,"Marcus,Erwin Henry",2
1887-08-14,"Frederick Arthur,Arthur Thomas",2
1887-08-24,"Harry Bartholomew,James Charles",2
1887-09-04,"John Michael,Clarence William",2
1887-09-07,"Joab Logan,Earl Victor",2
1887-09-17,"Edmund,Norman Andrew",2
1887-10-05,"Felix George,Lorenzo Clare",2
1887-10-08,"Dennis Martin,Frank Stephen,Owen Joseph,James Otis,Lester John",5
1887-10-10,"Paul Clarence,William",2
1887-10-21,"Roy George,Thomas A.",2
1887-10-24,"William Edward,Hugh Jenkin",2
1887-11-19,"Herman John,Michael John",2
1888-01-10,"Joseph Earl,George Thomas,Derrill Burnham",3
1888-01-19,"Arnold,Patrick William",2
1888-01-24,"Ernest Herman Frank,Chester David",2
1888-02-10,"Rexford Paul,Edmund Burke",2
1888-03-05,"George Howard,Charles Monroe",2
1888-03-07,"George John,Donald Dexter",2
1888-03-18,"Thomas Edward,Cecil Lysander,Philip Wiley",3
1888-04-04,"Tristram E.,William Lawrence",2
1888-04-09,"James Leslie,Malcolm Joseph",2
1888-04-12,"James Anson,Charles Thomas,William F.,Harry Andrew",4
1888-04-18,"Thomas Law,George Edward",2
1888-04-26,"Olaf,Raymond Benjamin",2
1888-05-07,"August Joseph,Paul Stoner",2
1888-06-22,"Howard Richard,Albert James",2
1888-06-29,"Robert Hayes,Andrew Kemper",2
1888-07-02,"Grover Allen,Patrick Henry",2
1888-07-12,"Roy Kramer,Harry William,Lester",3
1888-07-19,"Edward Francis,George Henry",2
1888-08-14,"William Baker,Albert Harrison",2
1888-08-23,"Paul B.,Edward S.",2
1888-09-05,"Ody Cleon,William Christopher",2
1888-09-06,"Urban Clarence,Daniel Joseph",2
1888-09-14,"Emil Henry,Artemus Ward",2
1888-09-25,"Mathias John,Arnold George",2
1888-10-12,"William Andrew,Maximilian Patrick",2
1888-11-12,"Elmer Ellsworth,Frank A.",2
1888-12-09,"Charles Roy,Finis Elbert",2
1888-12-10,"Stanley Oscar,Edward Leo",2
1888-12-23,"Thomas Aloysius,George James",2
1889-01-17,"Oliver Henry,D. Louis",2
1889-01-31,"Carl Grady,Paul Percival",2
1889-02-12,"George Leslie,Arthur Wilson",2
1889-02-13,"George Washington,Edward",2
1889-02-25,"David Beale,Elmer Jay",2
1889-03-26,"Joseph Francis,Carter Bradley",2
1889-03-29,"Albert Hermann,George Francis",2
1889-04-02,"Harry Edwin,Benjamin Harrison,Benyew Harrison",3
1889-04-27,"John Lewis,Henry Harrison,William Louis",3
1889-05-12,"Alexander George,Albert Christopher",2
1889-06-01,"Lowell Otto,Fuller Weidner",2
1889-06-14,"Raymond Caryll,William Homer",2
1889-06-16,"Ralph Earl,Emmett Eugene,Winfield Charles",3
1889-07-12,"Raymond Benjamin,Harry James",2
1889-07-16,"Marvin Warren,John Brodie",2
