yearID,teamID,total_spend,cumu_sum
1992,PIT,33944167,119.6
1993,PIT,24822467,144.4
1994,PIT,24217250,168.6
1995,PIT,18355345,187.0
1996,PIT,23017500,210.0
1997,PIT,10771667,220.8
1998,PIT,15065000,235.8
1999,PIT,24697666,260.5
2000,PIT,28928334,289.5
2001,PIT,57760833,347.2
2002,PIT,42323599,389.6
2003,PIT,54812429,444.4
2004,PIT,32227929,476.6
2005,PIT,38133000,514.7
2006,PIT,46717750,561.4
2007,PIT,38537833,600.0
2008,PIT,48689783,648.7
2009,PIT,48693000,697.4
2010,PIT,34943000,732.3
2011,PIT,45047000,777.4
2012,PIT,62951999,840.3
2013,PIT,77062000,917.4
2014,PIT,77178000,994.5
1985,SDN,11036583,11.0
1986,SDN,11380693,22.4
1987,SDN,11065796,33.5
1988,SDN,9561002,43.0
1989,SDN,14195000,57.2
1990,SDN,17588334,74.8
1991,SDN,22150001,97.0
1992,SDN,26854167,123.8
1993,SDN,25511333,149.3
1994,SDN,14916333,164.3
1995,SDN,26382334,190.6
1996,SDN,28348172,219.0
1997,SDN,37363672,256.4
1998,SDN,46861500,303.2
1999,SDN,49768179,353.0
2000,SDN,54821000,407.8
2001,SDN,39182833,447.0
2002,SDN,41425000,488.4
2003,SDN,45210000,533.6
2004,SDN,55384833,589.0
2005,SDN,63290833,652.3
2006,SDN,69896141,722.2
2007,SDN,58110567,780.3
2008,SDN,73677616,854.0
2009,SDN,43333700,897.3
2010,SDN,37799300,935.1
2011,SDN,45869140,981.0
2012,SDN,55244700,1036.2
2013,SDN,65585500,1101.8
2014,SDN,75685700,1177.5
1985,SEA,4613000,4.6
1986,SEA,5958309,10.6
1987,SEA,2263500,12.8
1988,SEA,7342450,20.2
1989,SEA,9779500,30.0
1990,SEA,12553667,42.5
1991,SEA,15691833,58.2
1992,SEA,23179833,81.4
1993,SEA,32696333,114.1
1994,SEA,29228500,143.3
1995,SEA,36481311,179.8
1996,SEA,41328501,221.1
1997,SEA,41540661,262.7
1998,SEA,54087036,316.7
1999,SEA,54125003,370.9
2000,SEA,58915000,429.8
2001,SEA,74720834,504.5
2002,SEA,80282668,584.8
2003,SEA,86959167,671.7
2004,SEA,81515834,753.3
2005,SEA,87754334,841.0
2006,SEA,87959833,929.0
2007,SEA,106460833,1035.4
2008,SEA,117666482,1153.1
2009,SEA,98904166,1252.0
2010,SEA,86510000,1338.5
2011,SEA,86110600,1424.6
2012,SEA,81978100,1506.6
2013,SEA,74005043,1580.6
2014,SEA,92531100,1673.1
2014,SFG,143510167,143.5
1985,SFN,8221714,8.2
1986,SFN,8947000,17.2
1987,SFN,7290000,24.5
1988,SFN,12380000,36.8
1989,SFN,14962834,51.8
1990,SFN,19335333,71.1
1991,SFN,30967666,102.1
1992,SFN,33163168,135.3
1993,SFN,35050000,170.3
1994,SFN,42638666,213.0
1995,SFN,36462777,249.4
1996,SFN,37144725,286.6
1997,SFN,35592378,322.2
1998,SFN,42565834,364.7
1999,SFN,46595057,411.3
2000,SFN,53737826,465.1
2001,SFN,63280167,528.3
2002,SFN,78299835,606.6
2003,SFN,82852167,689.5
2004,SFN,82019166,771.5
2005,SFN,90199500,861.7
2006,SFN,90056419,951.8
2007,SFN,90219056,1042.0
2008,SFN,76594500,1118.6
2009,SFN,83026450,1201.6
2010,SFN,98641333,1300.2
2011,SFN,118198333,1418.4
2012,SFN,117620683,1536.1
2013,SFN,140180334,1676.2
2014,SFN,20000000,1696.2
1985,SLN,11817083,11.8
1986,SLN,9875010,21.7
1987,SLN,11758000,33.5
1988,SLN,12880000,46.3
1989,SLN,16078833,62.4
1990,SLN,20523334,82.9
1991,SLN,21860001,104.8
1992,SLN,27583836,132.4
1993,SLN,23367334,155.7
1994,SLN,29275601,185.0
1995,SLN,37101000,222.1
1996,SLN,40269667,262.4
1997,SLN,45456667,307.8
1998,SLN,54672521,362.5
1999,SLN,49778195,412.3
2000,SLN,61453863,473.8
2001,SLN,78538333,552.3
2002,SLN,74660875,627.0
2003,SLN,83786666,710.7
2004,SLN,83228333,794.0
2005,SLN,92106833,886.1
2006,SLN,88891371,975.0
2007,SLN,90286823,1065.3
2008,SLN,99624449,1164.9
2009,SLN,88528409,1253.4
2010,SLN,93540751,1346.9
2011,SLN,105433572,1452.4
2012,SLN,110300862,1562.7
2013,SLN,92260110,1654.9
2014,SLN,120693000,1775.6
1998,TBA,27280000,27.3
1999,TBA,38870000,66.2
2000,TBA,62765129,128.9
2001,TBA,56980000,185.9
2002,TBA,34380000,220.3
2003,TBA,19630000,239.9
2004,TBA,29556667,269.5
2005,TBA,29679067,299.1
2006,TBA,34917967,334.1
2007,TBA,24123500,358.2
2008,TBA,43820597,402.0
2009,TBA,63313034,465.3
2010,TBA,71923471,537.2
2011,TBA,41053571,578.3
2012,TBA,64173500,642.5
2013,TBA,52955272,695.4
2014,TBA,72689100,768.1
1985,TEX,7676500,7.7
1986,TEX,6743119,14.4
1987,TEX,880000,15.3
1988,TEX,5342131,20.6
1989,TEX,11893781,32.5
1990,TEX,14874372,47.4
1991,TEX,18224500,65.6
1992,TEX,30128167,95.8
1993,TEX,36376959,132.1
1994,TEX,32973597,165.1
1995,TEX,34581451,199.7
1996,TEX,39041528,238.7
1997,TEX,53448838,292.2
1998,TEX,56572095,348.8
1999,TEX,76709931,425.5
2000,TEX,70795921,496.3
2001,TEX,88633500,584.9
2002,TEX,105526122,690.4
2003,TEX,103491667,793.9
2004,TEX,55050417,849.0
2005,TEX,55849000,904.8
2006,TEX,68228662,973.0
2007,TEX,68318675,1041.4
2008,TEX,67712326,1109.1
2009,TEX,68178798,1177.3
2010,TEX,55250544,1232.5
2011,TEX,92299264,1324.8
2012,TEX,120510974,1445.3
2013,TEX,112522600,1557.8
2014,TEX,112255059,1670.1
1985,TOR,8812550,8.8
1986,TOR,12611047,21.4
1987,TOR,10479501,31.9
1988,TOR,12241225,44.1
1989,TOR,16261666,60.4
1990,TOR,17756834,78.2
